name,mass,year,reclat,reclong,GeoLocation
Nan Yang Pao,52900,1917,35.66667,103.5,"(35.666670, 103.500000)"
Northwest Africa 4526,52850,2006,,,
Ahumada,52600,1909,30.7,-105.5,"(30.700000, -105.500000)"
Tobychan,52100,1971,,,
Stannern,52000,1808,49.28333,15.56667,"(49.283330, 15.566670)"
Benjamin,51800,1969,33.58333,-99.8,"(33.583330, -99.800000)"
Lancé,51700,1872,47.7,1.06667,"(47.700000, 1.066670)"
Grand Rapids,51700,1883,42.96667,-85.76667,"(42.966670, -85.766670)"
Ilimaes (iron),51700,1870,-26,-70,"(-26.000000, -70.000000)"
Leedey,51500,1943,35.88333,-99.33333,"(35.883330, -99.333330)"
Mungindi,51300,1897,-28.93333,148.95,"(-28.933330, 148.950000)"
Willow Creek,51000,1914,43.46667,-106.76667,"(43.466670, -106.766670)"
La Grange,50800,1860,38.4,-85.36667,"(38.400000, -85.366670)"
Davy (a),50600,1940,29.1,-97.6,"(29.100000, -97.600000)"
Richland,50600,1951,31.9,-96.4,"(31.900000, -96.400000)"
Santa Vitoria do Palmar,50400,2003,-33.50944,-53.41083,"(-33.509440, -53.410830)"
Northwest Africa 1581,50200,2001,31.38333,-4.25,"(31.383330, -4.250000)"
Akyumak,50000,1981,39.91667,42.81667,"(39.916670, 42.816670)"
Aumale,50000,1865,36.16667,3.66667,"(36.166670, 3.666670)"
Ausson,50000,1858,43.08333,0.58333,"(43.083330, 0.583330)"
Krymka,50000,1946,47.83333,30.76667,"(47.833330, 30.766670)"
Limerick,50000,1813,52.56667,-8.78333,"(52.566670, -8.783330)"
Nuevo Mercurio,50000,1978,24.3,-102.13333,"(24.300000, -102.133330)"
Valera,50000,1972,9.31667,-70.62833,"(9.316670, -70.628330)"
Wuan,50000,1986,36.75,114.25,"(36.750000, 114.250000)"
Dhofar 1654,50000,2011,18.67877,54.2876,"(18.678770, 54.287600)"
Hammadah al Hamra 153,50000,1995,28.60033,13.5775,"(28.600330, 13.577500)"
Hinojal,50000,1927,-32.36667,-60.15,"(-32.366670, -60.150000)"
Ingella Station,50000,1987,-25.55,142.78333,"(-25.550000, 142.783330)"
Northwest Africa 5775,50000,2006,0,0,"(0.000000, 0.000000)"
Northwest Africa 6903,50000,2008,32.37167,-6.36,"(32.371670, -6.360000)"
Waconda,50000,1873,39.33333,-98.16667,"(39.333330, -98.166670)"
Winburg,50000,1881,-28.5,27,"(-28.500000, 27.000000)"
Zagora,50000,1987,30.36667,-5.85,"(30.366670, -5.850000)"
Jiddat al Harasis 342,49750,2006,19.71458,56.54755,"(19.714580, 56.547550)"
Hraschina,49000,1751,46.1,16.33333,"(46.100000, 16.333330)"
Agua Blanca,49000,1938,-28.91667,-66.95,"(-28.916670, -66.950000)"
Mapleton,49000,1939,42.18333,-95.71667,"(42.183330, -95.716670)"
Thule,48600,1955,76.53333,-67.55,"(76.533330, -67.550000)"
Cabin Creek,48500,1886,35.5,-93.5,"(35.500000, -93.500000)"
Bear Lodge,48500,1931,44.5,-104.2,"(44.500000, -104.200000)"
Crab Orchard,48500,1887,35.83333,-84.91667,"(35.833330, -84.916670)"
Bischtübe,48250,1888,51.95,62.2,"(51.950000, 62.200000)"
Woodbine,48200,1953,42.34667,-90.1675,"(42.346670, -90.167500)"
Jackalsfontein,48000,1903,-32.5,21.9,"(-32.500000, 21.900000)"
Bagnone,48000,1904,44.31667,9.98333,"(44.316670, 9.983330)"
Sukhoj Liman,48000,1987,46.4,30.8,"(46.400000, 30.800000)"
Dresden (Ontario),47700,1939,42.52,-82.26,"(42.520000, -82.260000)"
Red Rock,47600,1976,35.41667,-117.91667,"(35.416670, -117.916670)"
Roy (1933),47200,1933,35.95,-104.2,"(35.950000, -104.200000)"
Gomez,47000,1974,33.18139,-102.40139,"(33.181390, -102.401390)"
South African Railways,47000,1938,,,
Cuero,46500,1936,29.01667,-97.28333,"(29.016670, -97.283330)"
Harrisonville,46500,1933,38.65,-94.33333,"(38.650000, -94.333330)"
Lakewood,46500,1955,32.62972,-104.35,"(32.629720, -104.350000)"
Rancho de la Pila (1882),46500,1882,24.11667,-104.3,"(24.116670, -104.300000)"
Osseo,46300,1931,47.63333,-80.08333,"(47.633330, -80.083330)"
Jiddat al Harasis 203,46200,2002,19.983,56.41368,"(19.983000, 56.413680)"
Dumas (a),46050,1956,35.9,-101.9,"(35.900000, -101.900000)"
Asuka 87251,46000,1987,-72,26,"(-72.000000, 26.000000)"
Linwood,46000,1940,41.43333,-96.96667,"(41.433330, -96.966670)"
Peace River,45760,1963,56.13333,-117.93333,"(56.133330, -117.933330)"
Woodward County,45500,1923,36.5,-99.5,"(36.500000, -99.500000)"
Northwest Africa 7150,45326,2011,0,0,"(0.000000, 0.000000)"
Thuathe,45300,2002,-29.33333,27.58333,"(-29.333330, 27.583330)"
Needles,45300,1962,34.44417,-114.8325,"(34.444170, -114.832500)"
Northwest Africa 4300,45200,2006,,,
Bensour,45000,2002,30,-7,"(30.000000, -7.000000)"
Dhajala,45000,1976,22.37778,71.42722,"(22.377780, 71.427220)"
Kuttippuram,45000,1914,10.83333,76.03333,"(10.833330, 76.033330)"
Kyushu,45000,1886,32.03333,130.63333,"(32.033330, 130.633330)"
La Criolla,45000,1985,-31.23333,-58.16667,"(-31.233330, -58.166670)"
Marjalahti,45000,1902,61.5,30.5,"(61.500000, 30.500000)"
Hammadah al Hamra 173,45000,1996,28.63667,13.1965,"(28.636670, 13.196500)"
Northwest Africa 854,45000,2000,,,
Sandia Mountains,45000,1925,35.25,-106.5,"(35.250000, -106.500000)"
Vyatka,45000,1991,57.53333,49,"(57.533330, 49.000000)"
Wellman (c),45000,1964,33.03333,-102.33333,"(33.033330, -102.333330)"
Dhofar 1433,44790,2006,18.43333,54.1,"(18.433330, 54.100000)"
Cumulus Hills 04069,44700,2003,,,
Saginaw,44500,1979,32.86583,-97.32306,"(32.865830, -97.323060)"
Beenham,44400,1937,36.21667,-103.65,"(36.216670, -103.650000)"
Northwest Africa 5460,44400,2006,0,0,"(0.000000, 0.000000)"
Kelly,44300,1937,40.46667,-103.03333,"(40.466670, -103.033330)"
Zemaitkiemis,44100,1933,55.3,25,"(55.300000, 25.000000)"
Barwell,44000,1965,52.56528,-1.33972,"(52.565280, -1.339720)"
Dar al Gani 610,44000,1998,26.85,16.73333,"(26.850000, 16.733330)"
Dix,44000,1927,41.23333,-103.48333,"(41.233330, -103.483330)"
Horh Uul,44000,2001,43.25,104.16667,"(43.250000, 104.166670)"
Rodeo,44000,1852,25.33333,-104.66667,"(25.333330, -104.666670)"
Ust-Nyukzha,44000,1992,56.38333,120.46667,"(56.383330, 120.466670)"
Seminole,43900,1961,32.68333,-102.61667,"(32.683330, -102.616670)"
Dhofar 1288,43600,2004,18.27833,54.285,"(18.278330, 54.285000)"
Sayh al Uhaymir 270,43508.2,2003,20.72918,57.189,"(20.729180, 57.189000)"
Staunton,43500,1869,38.21667,-79.05,"(38.216670, -79.050000)"
Northwest Africa 7144,43418,2011,0,0,"(0.000000, 0.000000)"
Aggie Creek,43000,1942,64.88333,-163.16667,"(64.883330, -163.166670)"
Chilkoot,43000,1881,59.33333,-136,"(59.333330, -136.000000)"
Dhofar 1565,43000,2008,18.2735,54.21367,"(18.273500, 54.213670)"
Lixian,43000,2005,29.85167,111.59833,"(29.851670, 111.598330)"
Northwest Africa 6411,43000,2006,0,0,"(0.000000, 0.000000)"
Tombigbee River,43000,1859,32.23333,-88.2,"(32.233330, -88.200000)"
Merceditas,42900,1884,-26.33333,-70.28333,"(-26.333330, -70.283330)"
Dhofar 1426,42850,2001,19.173,54.70407,"(19.173000, 54.704070)"
Joe Wright Mountain,42600,1884,35.76667,-91.5,"(35.766670, -91.500000)"
Ballinoo,42200,1892,-27.7,115.76667,"(-27.700000, 115.766670)"
Piplia Kalan,42000,1996,26.03472,73.94167,"(26.034720, 73.941670)"
Zhaodong,42000,1984,45.81667,125.91667,"(45.816670, 125.916670)"
Macy,42000,1984,34.21667,-103.91667,"(34.216670, -103.916670)"
Northwest Africa 055,42000,,32.05,-3.03333,"(32.050000, -3.033330)"
Point Berliet,42000,2001,20.537,9.53783,"(20.537000, 9.537830)"
Anton,41800,1965,33.7825,-102.18111,"(33.782500, -102.181110)"
Bonita Springs,41800,1938,26.26667,-81.75,"(26.266670, -81.750000)"
Karoonda,41730,1930,-35.08333,139.91667,"(-35.083330, 139.916670)"
Tieraco Creek,41700,1922,-26.33333,118.33333,"(-26.333330, 118.333330)"
Al Huqf 010,41539.3,2002,19.86785,57.0028,"(19.867850, 57.002800)"
Cacaria,41400,1867,24.5,-104.8,"(24.500000, -104.800000)"
Clovis (no. 2),41300,1963,34.3,-103.13333,"(34.300000, -103.133330)"
